smiles,atom1,atom2,L,Bmin,Bmax,PercentBuried_Volume,Percent_Buried_Sheel,Occupied_Volume
O=C1OCC[N]1_0,4.0,0.0,4.90371678,1.9118990172679644,3.246383293055475,33.235088921288884,0.0,68.63000000000001
O=C1OCC[N]1_1,4.0,0.0,4.90371678,1.9118990172679644,3.246383293055475,33.235088921288884,0.0,68.63000000000001
O=C1OCC[N]1_2,4.0,3.0,4.53261293,1.7,3.716061686846568,33.235088921288884,0.0,68.63000000000001
ClCl_1,2.0,1.0,3.770002,1.75,1.75,21.73889127943329,0.0,39.70487500000001
Cl_0,0.0,0.0,2.4685259999999998,1.75,1.75,13.615519692747737,0.0,24.443500000000007
Br_0,0.0,0.0,2.6219400000000004,1.83,1.83,15.555968678762358,0.0,27.927125000000007
F_0,0.0,0.0,2.0678,1.47,1.47,8.356623734345996,0.0,15.002375000000004
BrBr_1,2.0,1.0,4.13,1.83,1.83,24.191520205206185,0.0,46.69987500000001
FF_1,2.0,1.0,2.95,1.47,1.47,12.524665544271258,0.0,22.485125000000004
BrC1=CC=CC=C1_0,5.0,0.0,6.50472139,1.8299727071807326,3.245983935013089,36.61169505060513,0.0,97.13325000000002
BrC1=CC=CC=C1_1,5.0,4.0,4.27031394,1.7,5.880253034382052,36.61169505060513,0.0,97.13325000000002
C_0,0.0,0.0,2.1821997800000004,1.7,2.1197355026368556,14.043519976827964,0.0,25.211875000000006
C#C_1,2.0,1.0,3.3561064500000004,1.7,1.7,18.460201613408582,0.0,33.141000000000005
C#N_1,2.0,1.0,3.3149995600000004,1.7,1.7,15.888509651068711,0.0,28.524125000000005
C(=O)OC_0,4.0,1.0,4.30202378,1.7559031168165904,2.7389505060562227,26.594574346162897,0.0,53.336500000000015
C(=O)OC_1,4.0,3.0,4.16207036,1.7,3.8225456431072073,26.594574346162897,0.0,53.336500000000015
C(C)(C)_0,3.0,1.0,4.26424854,1.9765968957393663,3.24503259063418,28.069198215874703,0.0,55.59500000000001
C(C)(C)_1,3.0,2.0,4.49454214,1.7320875872636563,2.8326938944082274,28.069198215874703,0.0,55.59500000000001
C1(C=CC=C2)=C2SC=N1_0,5.0,2.0,4.99263589,1.7402102762789002,5.546989567604689,41.092328151000146,0.0,109.95750000000002
C1(C=CC=C2)=C2SC=N1_1,5.0,2.0,4.99263589,1.7402102762789002,5.546989567604689,41.092328151000146,0.0,109.95750000000002
C1(C=CC=C2)=C2SC=N1_2,5.0,3.0,4.47624109,1.722915261337273,5.938346501330507,41.092328151000146,0.0,109.95750000000002
C1(C=CC=C2)=C2SC=N1_3,5.0,3.0,4.47624109,1.722915261337273,5.938346501330507,41.092328151000146,0.0,109.95750000000002
C1(C=CC=C2)=C2SC=N1_4,5.0,6.0,5.926429049999999,1.7713884878035906,4.466038786736993,41.092328151000146,0.0,109.95750000000002
C1(C=CC=C2)=C2SC=N1_5,5.0,7.0,5.63789013,1.8,4.987857081635372,41.092328151000146,0.0,109.95750000000002
C1(C=CC=C2)=C2SC=N1_6,5.0,7.0,5.63789013,1.8,4.987857081635372,41.092328151000146,0.0,109.95750000000002
C1(C=CC=C2)=C2SC=N1_7,5.0,8.0,5.9555868,1.7740130733860644,4.557813985100488,41.092328151000146,0.0,109.95750000000002
C1(CC2=CC=CC=C2)=CC=CC=C1_0,9.0,5.0,7.2022349199999995,2.458311609254644,4.88171138039562,46.19900548778025,0.0,163.03337500000004
C1(CC2=CC=CC=C2)=CC=CC=C1_1,9.0,10.0,5.90213174,1.7,5.839431169710256,46.19900548778025,0.0,163.03337500000004
C1=CC=C1_0,3.0,0.0,3.27594372,1.7,3.2127001537166198,29.905849685353296,0.0,55.058500000000016
C1=CC=C1_1,3.0,1.0,4.13663688,1.70521758828845,3.1541215541235896,29.905849685353296,0.0,55.058500000000016
C1=CC=C1_2,3.0,2.0,3.27594372,1.7,3.2127001537166198,29.905849685353296,0.0,55.058500000000016
C1=CC=CC=N1_0,4.0,0.0,4.44313019,1.7033940882773366,3.6445266077995164,35.89110875616722,0.0,74.96462500000001
C1=CC=CC=N1_1,4.0,1.0,4.9026583100000005,1.7097297406182024,3.2405609259410753,35.89110875616722,0.0,74.96462500000001
C1=CC=CC=N1_2,4.0,2.0,4.44313019,1.7033940882773366,3.6445266077995164,35.89110875616722,0.0,74.96462500000001
C1=CC=CC=N1_3,4.0,3.0,4.2454869,1.7,4.443931963532576,35.89110875616722,0.0,74.96462500000001
C1=CC=CC=N1_5,4.0,5.0,3.6872530599999997,1.7,4.459908302572944,35.89110875616722,0.0,74.96462500000001
C1=CC=CN=C1_0,4.0,0.0,4.4245002300000005,1.7001467923677418,4.1869591388380165,35.116878016990185,0.0,74.96675000000002
C1=CC=CN=C1_1,4.0,1.0,4.90098858,1.7092263224267967,3.2405599213286465,35.116878016990185,0.0,74.96675000000002
C1=CC=CN=C1_2,4.0,2.0,4.4245002300000005,1.7001467923677418,4.1869591388380165,35.116878016990185,0.0,74.96675000000002
C1=CC=CN=C1_3,4.0,3.0,4.21923373,1.7,4.45990775544378,35.116878016990185,0.0,74.96675000000002
C1=CC=CN=C1_5,4.0,5.0,4.13200219,1.7,4.443813519184279,35.116878016990185,0.0,74.96675000000002
C1=CC=CO1_0,3.0,0.0,3.8446040000000004,1.7,3.650883753900217,33.06735625749366,0.0,62.47750000000001
C1=CC=CO1_1,3.0,0.0,3.8446040000000004,1.7,3.650883753900217,33.06735625749366,0.0,62.47750000000001
C1=CC=CO1_2,3.0,1.0,4.39088055,1.7007863217326178,3.353935039219321,33.06735625749366,0.0,62.47750000000001
C1=CC=CO1_3,3.0,1.0,4.39088055,1.7007863217326178,3.353935039219321,33.06735625749366,0.0,62.47750000000001
C1=CC=CO1_4,3.0,2.0,3.8446040000000004,1.7,3.650883753900217,33.06735625749366,0.0,62.47750000000001
C1=CC=CO1_5,3.0,2.0,3.8446040000000004,1.7,3.650883753900217,33.06735625749366,0.0,62.47750000000001
C1=CC=CO1_8,3.0,4.0,3.3699333300000003,1.7,4.243687728166329,33.06735625749366,0.0,62.47750000000001
C1=CC=CO1_9,3.0,4.0,3.3699333300000003,1.7,4.243687728166329,33.06735625749366,0.0,62.47750000000001
C1=CC=CS1_0,3.0,0.0,4.07215461,1.7,4.268414197847104,35.22573071891421,0.0,71.58037500000002
C1=CC=CS1_1,3.0,0.0,4.07215461,1.7,4.268414197847104,35.22573071891421,0.0,71.58037500000002
C1=CC=CS1_2,3.0,1.0,4.44517683,1.733607949817205,3.47064109039922,35.22573071891421,0.0,71.58037500000002
C1=CC=CS1_3,3.0,1.0,4.44517683,1.733607949817205,3.47064109039922,35.22573071891421,0.0,71.58037500000002
C1=CC=CS1_4,3.0,2.0,4.07215461,1.7,4.268414197847104,35.22573071891421,0.0,71.58037500000002
C1=CC=CS1_5,3.0,2.0,4.07215461,1.7,4.268414197847104,35.22573071891421,0.0,71.58037500000002
C1=CC=CS1_8,3.0,4.0,3.82121199,1.7,4.4438737869894185,35.22573071891421,0.0,71.58037500000002
C1=CC=CS1_9,3.0,4.0,3.82121199,1.7,4.4438737869894185,35.22573071891421,0.0,71.58037500000002
C1=CC=NC=C1_0,4.0,0.0,4.45917924,1.7037519848477742,4.256742536727862,34.400532485589544,0.0,74.95275000000002
C1=CC=NC=C1_1,4.0,1.0,4.97330645,1.7072446973098974,3.242689770454602,34.400532485589544,0.0,74.95275000000002
C1=CC=NC=C1_2,4.0,2.0,4.45917924,1.7037519848477742,4.256742536727862,34.400532485589544,0.0,74.95275000000002
C1=CC=NC=C1_3,4.0,3.0,4.29411956,1.7,4.443814060912626,34.400532485589544,0.0,74.95275000000002
C1=CC=NC=C1_5,4.0,5.0,4.2941192,1.7,4.443813490480412,34.400532485589544,0.0,74.95275000000002
C1=CC=NC=N1_0,4.0,0.0,4.42484119,1.7050244747341912,3.6237765710703815,33.750687544820956,0.0,70.91912500000002
C1=CC=NC=N1_1,4.0,1.0,4.89193286,1.708028884969395,3.242149679505279,33.750687544820956,0.0,70.91912500000002
C1=CC=NC=N1_2,4.0,2.0,4.42484119,1.7050244747341912,3.6237765710703815,33.750687544820956,0.0,70.91912500000002
C1=CC=NC=N1_3,4.0,3.0,4.2766776,1.7,4.376997924749538,33.750687544820956,0.0,70.91912500000002
C1=CC=NC=N1_5,4.0,5.0,3.68251216,1.7,4.448181632128457,33.750687544820956,0.0,70.91912500000002
C1=CCCC1_0,3.0,0.0,4.13273536,1.8660857100456472,4.226452528113216,36.186743607346315,0.0,72.88062500000002
C1=CCCC1_1,3.0,0.0,4.13273536,1.8660857100456472,4.226452528113216,36.186743607346315,0.0,72.88062500000002
C1=CCCC1_2,3.0,1.0,4.45587342,1.9461404149456183,3.2780477990055115,36.186743607346315,0.0,72.88062500000002
C1=CCCC1_3,3.0,1.0,4.45587342,1.9461404149456183,3.2780477990055115,36.186743607346315,0.0,72.88062500000002
C1=CCCC1_4,3.0,2.0,4.13273536,1.8660857100456472,4.226452528113216,36.186743607346315,0.0,72.88062500000002
C1=CCCC1_5,3.0,2.0,4.13273536,1.8660857100456472,4.226452528113216,36.186743607346315,0.0,72.88062500000002
C1=CCCC1_8,3.0,4.0,3.9061226,1.7672735121440157,4.3958665770696825,36.186743607346315,0.0,72.88062500000002
C1=CCCC1_9,3.0,4.0,3.9061226,1.7672735121440157,4.3958665770696825,36.186743607346315,0.0,72.88062500000002
C1=CNC=C1_0,3.0,0.0,3.9166014799999997,1.7,4.3002245460378825,33.11136084176871,0.0,64.52950000000001
C1=CNC=C1_1,3.0,0.0,3.9166014799999997,1.7,4.3002245460378825,33.11136084176871,0.0,64.52950000000001
C1=CNC=C1_2,3.0,1.0,4.34025631,1.7025856001858966,3.323261154332605,33.11136084176871,0.0,64.52950000000001
C1=CNC=C1_3,3.0,1.0,4.34025631,1.7025856001858966,3.323261154332605,33.11136084176871,0.0,64.52950000000001
C1=CNC=C1_4,3.0,2.0,3.9166014799999997,1.7,4.3002245460378825,33.11136084176871,0.0,64.52950000000001
C1=CNC=C1_5,3.0,2.0,3.9166014799999997,1.7,4.3002245460378825,33.11136084176871,0.0,64.52950000000001
C1=CNC=C1_8,3.0,4.0,3.91660306,1.7,4.300223836807265,33.11136084176871,0.0,64.52950000000001
C1=CNC=C1_9,3.0,4.0,3.91660306,1.7,4.300223836807265,33.11136084176871,0.0,64.52950000000001
C1=COC=C1_0,3.0,0.0,3.9691271100000005,1.7,4.303480680804457,31.843722453617634,0.0,62.494000000000014
C1=COC=C1_1,3.0,0.0,3.9691271100000005,1.7,4.303480680804457,31.843722453617634,0.0,62.494000000000014
C1=COC=C1_2,3.0,1.0,4.35525897,1.7042551657569254,3.3306386628713334,31.843722453617634,0.0,62.494000000000014
C1=COC=C1_3,3.0,1.0,4.35525897,1.7042551657569254,3.3306386628713334,31.843722453617634,0.0,62.494000000000014
C1=COC=C1_4,3.0,2.0,3.9691271100000005,1.7,4.303480680804457,31.843722453617634,0.0,62.494000000000014
C1=COC=C1_5,3.0,2.0,3.9691271100000005,1.7,4.303480680804457,31.843722453617634,0.0,62.494000000000014
C1=COC=C1_8,3.0,4.0,3.9691266599999997,1.7,4.303480956488881,31.843722453617634,0.0,62.494000000000014
C1=COC=C1_9,3.0,4.0,3.9691266599999997,1.7,4.303480956488881,31.843722453617634,0.0,62.494000000000014
C1CC=CCC1_0,4.0,0.0,4.45370883,1.937520800950626,4.320131612343742,39.209650680835026,0.0,87.60675000000002
C1CC=CCC1_1,4.0,1.0,4.97361125,2.0837045367811027,3.247118072706356,39.209650680835026,0.0,87.60675000000002
C1CC=CCC1_2,4.0,2.0,4.45370883,1.937520800950626,4.320131612343742,39.209650680835026,0.0,87.60675000000002
C1CC=CCC1_3,4.0,3.0,4.06409669,1.7,4.494180691717156,39.209650680835026,0.0,87.60675000000002
C1CC=CCC1_5,4.0,5.0,4.25223904,1.9040316392382155,4.5528019440148,39.209650680835026,0.0,87.60675000000002
C1CCC1_0,3.0,0.0,3.31270461,1.72393353,3.311482522715103,34.17471483008866,0.0,63.47225000000002
C1CCC1_1,3.0,1.0,4.11151646,2.071402174138629,3.068419882389094,34.17471483008866,0.0,63.47225000000002
C1CCC1_2,3.0,2.0,3.31270461,1.72393353,3.311482522715103,34.17471483008866,0.0,63.47225000000002
C1CCC=CO1_0,4.0,0.0,4.4460834,2.077367809895308,3.61149640504895,38.25142471218551,0.0,81.11587500000002
C1CCC=CO1_1,4.0,1.0,4.85946989,2.0455397686710453,3.2562901861855167,38.25142471218551,0.0,81.11587500000002
C1CCC=CO1_2,4.0,2.0,4.4460834,2.077367809895308,3.61149640504895,38.25142471218551,0.0,81.11587500000002
C1CCC=CO1_3,4.0,3.0,4.18355242,1.8870883732855268,4.537698609550428,38.25142471218551,0.0,81.11587500000002
C1CCC=CO1_5,4.0,5.0,3.65167218,1.7,4.48908560869907,38.25142471218551,0.0,81.11587500000002
C=C_1,2.0,1.0,3.03578742,1.7,2.0199583637536604,20.396821086551167,0.0,36.61775000000001
C=CC=C_0,4.0,0.0,5.6368975699999995,1.7,2.8405244171918547,25.846733344705502,0.0,62.719000000000015
C=CC=C_1,4.0,3.0,5.16050154,1.7,3.2505164405543647,25.846733344705502,0.0,62.719000000000015
CC_1,2.0,1.0,3.21205751,1.9814010086687555,2.1143433143493047,22.50702193405718,0.0,40.40612500000001
CC(C)C_0,3.0,0.0,4.24875622,1.9975731411231665,3.258132717214105,33.67534364655963,0.0,70.79175000000002
CC(C)C_1,3.0,0.0,4.24875622,1.9975731411231665,3.258132717214105,33.67534364655963,0.0,70.79175000000002
CC(C)C_2,3.0,2.0,4.24875622,1.9975731411231665,3.258132717214105,33.67534364655963,0.0,70.79175000000002
CC(C)C_3,3.0,2.0,4.24875622,1.9975731411231665,3.258132717214105,33.67534364655963,0.0,70.79175000000002
CCCC_0,4.0,0.0,5.7566258,1.7429793429492952,2.837336053877862,28.37352245533684,0.0,70.81837500000002
CCCC_1,4.0,3.0,5.30030632,1.9769142219682436,3.5379110794395077,28.37352245533684,0.0,70.81837500000002
COC1=CC(OC)=CC(OC)=C1_0,7.0,0.0,8.07387097,1.7009077969699875,7.381535487808511,28.630970036498738,0.0,149.96100000000004
COC1=CC(OC)=CC(OC)=C1_1,7.0,0.0,8.07387097,1.7009077969699875,7.381535487808511,28.630970036498738,0.0,149.96100000000004
COC1=CC(OC)=CC(OC)=C1_2,7.0,6.0,8.51210568,1.7,7.919465108149256,28.630970036498738,0.0,149.96100000000004
COC1=CC(OC)=CC(OC)=C1_3,7.0,6.0,8.51210568,1.7,7.919465108149256,28.630970036498738,0.0,149.96100000000004
COC1=CC(OC)=CC(OC)=C1_4,7.0,10.0,9.07802422,1.7475635005504684,6.973547005490249,28.630970036498738,0.0,149.96100000000004
COC1=CC(OC)=CC(OC)=C1_5,7.0,10.0,9.07802422,1.7475635005504684,6.973547005490249,28.630970036498738,0.0,149.96100000000004
COC1=CC(OC)=CC=C1_0,7.0,0.0,6.91692502,1.9523450476971393,5.361745304119715,28.620871156264233,0.0,126.30750000000003
COC1=CC(OC)=CC=C1_1,7.0,6.0,6.37929236,1.7,7.232096696955666,28.620871156264233,0.0,126.30750000000003
C[Si](C)C_0,3.0,0.0,4.73150992,2.1,3.533727458866764,33.606872408155766,0.0,83.57187500000002
C[Si](C)C_1,3.0,0.0,4.73150992,2.1,3.533727458866764,33.606872408155766,0.0,83.57187500000002
C[Si](C)C_2,3.0,2.0,4.73150992,2.1,3.533727458866764,33.606872408155766,0.0,83.57187500000002
C[Si](C)C_3,3.0,2.0,4.73150992,2.1,3.533727458866764,33.606872408155766,0.0,83.57187500000002
FC(C1=CC=CC=C1)(F)F_0,6.0,0.0,6.327425369999999,2.0946036488886515,3.2491662271072324,36.58210873564147,0.0,110.97175000000003
FC(C1=CC=CC=C1)(F)F_1,6.0,5.0,4.83848158,1.7,6.260400094185752,36.58210873564147,0.0,110.97175000000003
FC(C1=CC=CC=C1)(F)F_2,6.0,5.0,4.83848158,1.7,6.260400094185752,36.58210873564147,0.0,110.97175000000003
FC(C1=CC=CC=C1)(F)F_3,6.0,5.0,4.83848158,1.7,6.260400094185752,36.58210873564147,0.0,110.97175000000003
FC(C1=CC=CC=C1)(F)F_4,6.0,8.0,6.22110645,1.816127911436702,4.895047073451784,36.58210873564147,0.0,110.97175000000003
FC(C1=CC=CC=C1)(F)F_5,6.0,9.0,6.45156418,1.7,3.5994097039050184,36.58210873564147,0.0,110.97175000000003
NC=O_0,3.0,0.0,4.06571975,1.7,3.1139614724629183,20.99895976504894,0.0,39.807125000000006
NC=O_1,3.0,2.0,4.06571975,1.7,3.1139614724629183,20.99895976504894,0.0,39.807125000000006
O_0,0.0,0.0,2.05900075,1.52,2.03030677,9.817060688727446,0.0,17.624250000000004
O=C1OCNC1_0,4.0,0.0,4.90992192,1.893718438953338,3.24007161630401,33.24152067386222,0.0,70.80912500000002
O=C1OCNC1_1,4.0,0.0,4.90992192,1.893718438953338,3.24007161630401,33.24152067386222,0.0,70.80912500000002
O=C1OCNC1_2,4.0,3.0,4.4929913500000005,1.7,4.166712355604633,33.24152067386222,0.0,70.80912500000002
O=[P](OC)OC_0,5.0,3.0,4.46293179,1.52,3.6952137699624807,40.33306806527683,0.0,84.69687500000002
OC_1,2.0,1.0,2.9357340599999997,1.7,2.123121382520333,18.714829405645677,0.0,33.59812500000001
SC_1,2.0,1.0,3.6040146699999998,1.8,2.4223060993732632,24.185532239624457,0.0,43.53550000000001
[H][H]_1,2.0,1.0,1.7916020000000001,1.09,1.09,4.434227768285227,0.0,7.960625000000002
[NH2]_0,0.0,0.0,2.11599892,1.55,2.06411153,10.394690484844181,0.0,18.661250000000006
[NH]C_1,2.0,1.0,2.99977725,1.7,2.108798746407361,19.22645232534984,0.0,34.516625000000005
c1ccccc1_0,4.0,0.0,4.44704477,1.701613845316521,4.268969160943995,36.5894227629427,0.0,78.90375000000002
c1ccccc1_1,4.0,1.0,4.96638152,1.7016179169704488,3.2390916384916437,36.5894227629427,0.0,78.90375000000002
c1ccccc1_2,4.0,2.0,4.44704477,1.701613845316521,4.268969160943995,36.5894227629427,0.0,78.90375000000002
c1ccccc1_3,4.0,3.0,4.26896945,1.7,4.447044664176367,36.5894227629427,0.0,78.90375000000002
c1ccccc1_5,4.0,5.0,4.26896861,1.7,4.447045612372075,36.5894227629427,0.0,78.90375000000002
C(F)(F)(F)_0,3.0,1.0,3.23491185,1.79357875011284,2.754724222544959,23.16562852054081,0.0,41.93225000000001
C(F)(F)(F)_1,3.0,1.0,3.23491185,1.79357875011284,2.754724222544959,23.16562852054081,0.0,41.93225000000001
C(F)(F)(F)_2,3.0,2.0,3.65298587,1.47,3.360521552541595,23.16562852054081,0.0,41.93225000000001
C(F)(F)(F)_3,3.0,2.0,3.65298587,1.47,3.360521552541595,23.16562852054081,0.0,41.93225000000001
C(F)(F)(F)(F)_0,3.0,1.0,3.26137285,2.1053442599245153,2.73669207500531,26.049739105732154,0.0,47.35212500000001
C(F)(F)(F)(F)_1,3.0,1.0,3.26137285,2.1053442599245153,2.73669207500531,26.049739105732154,0.0,47.35212500000001
C(F)(F)(F)(F)_2,3.0,1.0,3.26137285,2.1053442599245153,2.73669207500531,26.049739105732154,0.0,47.35212500000001
C(F)(F)(F)(F)_3,3.0,2.0,3.6639741700000004,1.47,3.370038107160096,26.049739105732154,0.0,47.35212500000001
C(F)(F)(F)(F)_4,3.0,2.0,3.6639741700000004,1.47,3.370038107160096,26.049739105732154,0.0,47.35212500000001
C(F)(F)(F)(F)_5,3.0,2.0,3.6639741700000004,1.47,3.370038107160096,26.049739105732154,0.0,47.35212500000001
C(F)(F)(F)(F)_9,3.0,4.0,3.6639738900000003,1.47,3.3700383404501597,26.049739105732154,0.0,47.35212500000001
C(F)(F)(F)(F)_10,3.0,4.0,3.6639738900000003,1.47,3.3700383404501597,26.049739105732154,0.0,47.35212500000001
C(F)(F)(F)(F)_11,3.0,4.0,3.6639738900000003,1.47,3.3700383404501597,26.049739105732154,0.0,47.35212500000001
